"Data Ocorrência";"Descrição";"Valor";"Categoria";"Conta"
"07/12/2015";"Apt. Aracaju - Honorários Arquiteto - PROJETO - parcela 1 - 50%";-3152.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"09/12/2015";"Remédios para Isadora (1 / 3)";-11.55;"Farmácia";"Cartão de Crédito BB"
"11/12/2015";"Calça para Gracinha - MOTO (1 / 4)";-65.0;"Roupas e Calçados";"Cartão de Crédito BB"
"11/12/2015";"Calça para ACMD - MOTO (1 / 4)";-65.0;"Roupas e Calçados";"Cartão de Crédito BB"
"11/12/2015";"Acessórios para a moto (1 / 3)";-61.63;"Carros, Motos e Acessórios";"Conta Corrente"
"11/12/2015";"Remédios e produtos de limpeza de pele (1 / 3)";-29.03;"Farmácia";"Cartão de Crédito BB"
"12/12/2015";"Apt. Aracaju - Tintas (2 / 3)";-80.0;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"13/12/2015";"Polishop - Fritadeira AIRFRYER - (4 / 12)";-96.66;"Utensílios domésticos";"Cartão de Crédito BB"
"14/12/2015";"Apt. Aracaju - Tintas e Materiais de Pintura (2 / 10)";-21.85;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"14/12/2015";"Casa Maceió - Telhas (2 / 3)";-150.0;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"17/12/2015";"Acessórios para a moto (grupo 2) (3 / 10)";-39.9;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"17/12/2015";"Acessórios para a moto  (grupo 01) (3 / 10)";-120.0;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"17/12/2015";"Remédio para Isadora (1 / 3)";-29.03;"Farmácia";"Cartão de Crédito BB"
"21/12/2015";"Casa Maceió - Materiais e verniz para Telhados (2 / 10)";-42.59;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"25/12/2015";"Almoço com Gracinha, Dona Estela e Gabriela";-260.1;"Restaurante";"Cartão de Crédito BB"
"26/12/2015";"Pães";-19.83;"Padaria";"Cartão de Crédito BB"
"27/12/2015";"Almoço com Gracinha e Gabriela";-136.0;"Restaurante";"Cartão de Crédito BB"
"27/12/2015";"Alimentos";-22.31;"Padaria";"Cartão de Crédito BB"
"28/12/2015";"Peças para a moto (1 / 2)";-90.0;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"29/12/2015";"Isolada de Qúimica (Matrícula e Material)";-350.0;"Cursos";"Conta Corrente"
"30/12/2015";"Alimentos e materiais de limpeza";-176.36;"Supermercado";"Cartão de Crédito BB"
"30/12/2015";"BB SEGURO AUTO - MOTO";-255.98;"Moto Seguro";"Cartão de Crédito BB"
"31/12/2015";"Casa Maceió - Pintura da Geladeira - Depósito Parcela 1 (50%)";-275.0;"Ampliação/Melhorias em Imóveis";"Carteira"
"02/01/2016";"Materiais para casa";-70.0;"Acessórios";"Cartão de Crédito BB"
"02/01/2016";"Pães e água de coco";-33.38;"Padaria";"Cartão de Crédito BB"
"02/01/2016";"Materiais elétricos";-44.0;"Acessórios";"Cartão de Crédito BB"
"02/01/2016";"Salário - Rosiene Satirio de Oliveira - Dezembro de 2015";-724.96;"Salário Empregados";"Carteira"
"02/01/2016";"Décimo Terceiro Salário - Rosiene Satírio de Oliveira - 2015";-330.96;"Salário Empregados";"Carteira"
"03/01/2016";"Jantar com Isadora";-98.95;"Restaurante";"Cartão de Crédito BB"
"03/01/2016";"Alimentos";-147.4;"Supermercado";"Cartão de Crédito BB"
"03/01/2016";"Remédios para Pressão (2 / 3)";-27.33;"Farmácia";"Cartão de Crédito BB"
"04/01/2016";"Combustível para a Hilux";-165.36;"Combustível";"Cartão de Crédito BB"
"05/01/2016";"Casa Maceió - Papeis de Parede - Pagamento";-2316.79;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"05/01/2016";"Condomínio - Apartamento de Aracaju";-486.38;"Condomínio";"Conta Corrente"
"05/01/2016";"Remédios (3 / 4)";-34.96;"Farmácia";"Cartão de Crédito BB"
"05/01/2016";"Peças e manutenção da moto (1 / 2)";-102.28;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"05/01/2016";"Peças para a moto e Casaco para Gracinha (2 / 5)";-90.0;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"06/01/2016";"Materiais para a casa";-70.0;"Acessórios";"Cartão de Crédito BB"
"06/01/2016";"Alimentos";-53.68;"Supermercado";"Cartão de Crédito BB"
"06/01/2016";"Presentes para Daniel e Maria (2 / 3)";-89.9;"Roupas e Calçados";"Cartão de Crédito BB"
"06/01/2016";"Presente de Gabriela (2 / 10)";-65.0;"Acessórios";"Cartão de Crédito BB"
"06/01/2016";"Presentes para João Neto (2 / 3)";-18.6;"Roupas e Calçados";"Cartão de Crédito BB"
"06/01/2016";"Presentes para Ernane, Daniel e Thais (2 / 3)";-103.2;"Roupas e Calçados";"Cartão de Crédito BB"
"06/01/2016";"Depósito - FGTS";972.75;"FGTS";"FGTS"
"07/01/2016";"Compra Pendrive - Bompreço";-39.9;"Supermercado";"Cartão de Crédito BB"
"07/01/2016";"Alimentos  e pães";-19.49;"Padaria";"Cartão de Crédito BB"
"07/01/2016";"Táxi ALGÁS - Rodoviária.";-30.0;"Táxi";"Carteira"
"07/01/2016";"Lanche na Rodoviária.";-20.0;"Lanchonete";"Carteira"
"07/01/2016";"Energia Elétrica - Apartamento de Aracajú";-66.64;"Energia Elétrica";"Conta Corrente"
"07/01/2016";"E-SOCIAL - Rosiene Satirio de Oliveira - Salario Mensal";-264.76;"Encargos Empregados";"Conta Corrente"
"07/01/2016";"E-SOCIAL - Rosiene Satirio de Oliveira - Décimo Terceiro";-132.38;"Encargos Empregados";"Conta Corrente"
"07/01/2016";"Apt. Aracaju - Honorários Arquiteto - PROJETO - parcela 2 - 50%";-3152.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"08/01/2016";"Casa Maceió - Pedreiro - Pagamento parcela 1 (50%)";-3400.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"08/01/2016";"Casa Maceió - Materiais de Construção - Pagamento";-18700.0;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"08/01/2016";"Casa Maceió - Cortinas e outros materiais - Pagamento";-4801.55;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"08/01/2016";"Combustível carro de D. Estela";-50.0;"Combustível";"Carteira"
"08/01/2016";"Combustível carro de Gracinha";-100.0;"Combustível";"Carteira"
"08/01/2016";"Jantar com Gracinha";-37.84;"Restaurante";"Cartão de Crédito BB"
"08/01/2016";"Adiantamento PETROS";4396.62;"Benefícios Aposentadoria";"Conta Corrente"
"09/01/2016";"Depósito para despesas de Isadora";-150.0;"Mesada";"Carteira"
"09/01/2016";"Almoço com Gracinha, Isadora e colegas";-190.08;"Restaurante";"Cartão de Crédito BB"
"09/01/2016";"Sorvetes";-25.0;"Lanchonete";"Carteira"
"09/01/2016";"Jantar com Gracinha";-60.39;"Restaurante";"Cartão de Crédito BB"
"09/01/2016";"Remédios para Isadora (2 / 3)";-11.55;"Farmácia";"Cartão de Crédito BB"
"10/01/2016";"Água de côco";-31.5;"Padaria";"Cartão de Crédito BB"
"10/01/2016";"Pagamento Pousada Barra Bonita";-493.0;"Estadia";"Cartão de Crédito BB"
"10/01/2016";"Juros e atualização monetária - FGTS";10.35;"FGTS";"FGTS"
"11/01/2016";"Retirada para despesas gerais";-500.0;"Transferência entre Contas";"Conta Corrente"
"11/01/2016";"Retirada para despesas gerais";500.0;"Transferência entre Contas";"Carteira"
"11/01/2016";"Condominio - Casa de Maceió";-690.0;"Condomínio";"Conta Corrente"
"11/01/2016";"Link de Internet - NET";-96.99;"Internet";"Conta Corrente"
"11/01/2016";"Energia Elétrica - Casa de Maceió";-625.06;"Energia Elétrica";"Conta Corrente"
"11/01/2016";"Condominio - Apartamento de Maceió";-350.0;"Condomínio";"Conta Corrente"
"11/01/2016";"Agua e Esgoto - Apartamento de Mcaeió";-69.2;"Água e Esgoto";"Conta Corrente"
"11/01/2016";"TV a Cabo - Claro";-107.21;"TV a Cabo";"Conta Corrente"
"11/01/2016";"Calça para Gracinha - MOTO (2 / 4)";-65.0;"Roupas e Calçados";"Cartão de Crédito BB"
"11/01/2016";"Calça para ACMD - MOTO (2 / 4)";-65.0;"Roupas e Calçados";"Cartão de Crédito BB"
"11/01/2016";"Acessórios para a moto (2 / 3)";-61.63;"Carros, Motos e Acessórios";"Conta Corrente"
"11/01/2016";"Remédios e produtos de limpeza de pele (2 / 3)";-29.03;"Farmácia";"Cartão de Crédito BB"
"11/01/2016";"Transferência para pagamento do Cartão de Crédito";-5402.2;"Transferência entre Contas";"Conta Corrente"
"11/01/2016";"Transferência para pagamento do Cartão de Crédito";5402.2;"Transferência entre Contas";"Cartão de Crédito BB"
"12/01/2016";"Casa Maceió - Tintas (3 / 3)";-80.0;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"12/01/2016";"Picineiro - pagamento mensal";-134.0;"Pagamento Picineiro";"Carteira"
"13/01/2016";"Almoço";-17.9;"Restaurante";"Cartão de Crédito BB"
"13/01/2016";"Aluguel casa de Aracaju";2518.2;"Aluguel dos Imóveis";"Conta Corrente"
"13/01/2016";"Polishop - Fritadeira AIRFRYER - (5 / 12)";-96.66;"Utensílios domésticos";"Cartão de Crédito BB"
"14/01/2016";"Casa Maceió - Mármores e Granitos - Pagamento";-4500.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"14/01/2016";"Casa Maceió - Tintas e Materiais de Pintura (3 / 10)";-21.85;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"14/01/2016";"Casa Maceió - Telhas (3 / 3)";-150.0;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"15/01/2016";"Gás Natural - Apartamento de Maceió";-36.62;"Gás";"Conta Corrente"
"15/01/2016";"Casa Maceió - Gesseiro e Eletricista - Parcela 1 (50%)";-3140.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"15/01/2016";"Medico e Vacinas para Isadora";-850.0;"Médico/Psicóloga";"Conta Corrente"
"15/01/2016";"Compra do remédio NEBILET (caixa com 56) (1 / 3)";-32.9;"Farmácia";"Cartão de Crédito BB"
"15/01/2016";"Passagem para Aracaju";-53.74;"Passagens";"Cartão de Crédito BB"
"16/01/2016";"Pagamento serviço de jardinagem";-30.0;"Pagamento Diarista";"Carteira"
"16/01/2016";"Táxi residência - Rodoviária Maceió";-30.0;"Táxi";"Carteira"
"17/01/2016";"Jantar em Aracaju - Porto Madero";-86.0;"Restaurante";"Cartão de Crédito BB"
"17/01/2016";"Café da manhã com Gracinha";-55.2;"Padaria";"Cartão de Crédito BB"
"17/01/2016";"Vitamina C";-14.1;"Farmácia";"Cartão de Crédito BB"
"17/01/2016";"Acessórios para a moto (grupo 2) (4 / 10)";-39.9;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"17/01/2016";"Acessórios para a moto  (grupo 01) (4 / 10)";-120.0;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"17/01/2016";"Remédio para Isadora (2 / 3)";-29.03;"Farmácia";"Cartão de Crédito BB"
"18/01/2016";"Celulares - VIVO";-329.04;"Celular";"Conta Corrente"
"18/01/2016";"Licopeno";-38.0;"Farmácia";"Cartão de Crédito BB"
"18/01/2016";"Almoço";-25.0;"Restaurante";"Carteira"
"18/01/2016";"Casa Maceió - Exaustor e  Matérias  de Construção - Pagamento";-589.16;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"18/01/2016";"Equipamento para interligar Smartphone com TV";-270.0;"Eletrônicos";"Conta Corrente"
"18/01/2016";"Energia Elétrica - Apartamento de Maceió";-91.08;"Energia Elétrica";"Conta Corrente"
"19/01/2016";"Camisa para a Escola de Isadora";-50.0;"Roupas e Calçados";"Carteira"
"19/01/2016";"Avaliação física";-50.0;"Academia";"Carteira"
"20/01/2016";"Módulos (livros) para escola de Isadora";-660.0;"Material Escolar";"Conta Corrente"
"20/01/2016";"Almoço com Isadora";-39.29;"Restaurante";"Cartão de Crédito BB"
"20/01/2016";"Compra de Frutas";-29.5;"Supermercado";"Cartão de Crédito BB"
"20/01/2016";"BB SEGURO AUTO - HILUX";-483.67;"Automóvel Seguro";"Cartão de Crédito BB"
"21/01/2016";"Pilha para o controle da Moto";-15.0;"Moto Lavagem/Manutenção";"Carteira"
"21/01/2016";"Estacionamento Shopping Maceió";-4.0;"Estacionamento";"Carteira"
"21/01/2016";"Casa Maceió - Materiais e verniz para Telhados (3 / 10)";-42.59;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"22/01/2016";"Lanche de Isadora";-35.0;"Lanchonete";"Carteira"
"22/01/2016";"Retirada para despesas gerais.";-450.0;"Transferência entre Contas";"Conta Corrente"
"22/01/2016";"Retirada para despesas gerais.";450.0;"Transferência entre Contas";"Carteira"
"22/01/2016";"Vitamina C";-7.49;"Farmácia";"Cartão de Crédito BB"
"22/01/2016";"Combustível para a Hilux";-123.84;"Combustível";"Cartão de Crédito BB"
"22/01/2016";"Lâmpadas";-79.6;"Supermercado";"Cartão de Crédito BB"
"23/01/2016";"Depilação - Isadora";-20.0;"Salão de Beleza e Cosméticos";"Cartão de Crédito BB"
"23/01/2016";"Casa Maceió - Materiais de Construção - Pagamento";-643.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"23/01/2016";"Estacionamento restaurante";-10.0;"Estacionamento";"Carteira"
"24/01/2016";"Encontro à noite com Hevânio, Glicia e os meninos";-88.0;"Restaurante";"Cartão de Crédito BB"
"24/01/2016";"Almoço com os meninos";-180.0;"Restaurante";"Cartão de Crédito BB"
"24/01/2016";"Pagamento de Diária da irmã de Rose.";-100.0;"Pagamento Diarista";"Carteira"
"24/01/2016";"Estacionamento Aeroporto";-5.0;"Estacionamento";"Carteira"
"25/01/2016";"Casa Maceió - Botijão de GLP";-60.0;"Gás";"Carteira"
"25/01/2016";"Benefício INSS";3460.09;"Benefícios Aposentadoria";"Conta Corrente"
"25/01/2016";"Benefício PETROS I";8960.83;"Benefícios Aposentadoria";"Conta Corrente"
"25/01/2016";"Benefício PETROS II";2579.41;"Benefícios Aposentadoria";"Conta Corrente"
"25/01/2016";"Telefone Fixo - OI";-56.56;"Telefone Fixo";"Conta Corrente"
"25/01/2016";"Aplicação no BRASILPREV - Isadora";-508.65;"BRASILPREV";"Conta Corrente"
"26/01/2016";"Almoço co Isadora no Palato";-40.66;"Restaurante";"Cartão de Crédito BB"
"28/01/2016";"Depósito almoço de Isadora";-50.0;"Restaurante";"Conta Corrente"
"28/01/2016";"Compra de gelo.";-16.39;"Padaria";"Cartão de Crédito BB"
"28/01/2016";"Ônibus Aracaju / Maceió";-107.48;"Passagens";"Cartão de Crédito BB"
"28/01/2016";"Pães e queijos";-16.39;"Padaria";"Cartão de Crédito BB"
"28/01/2016";"Peças para a moto (2 / 2)";-90.0;"Moto Lavagem/Manutenção";"Cartão de Crédito BB"
"29/01/2016";"Salário - ALGÁS";9309.93;"Remuneração";"Conta Corrente"
"29/01/2016";"Remédios para pressão";-66.02;"Farmácia";"Cartão de Crédito BB"
"29/01/2016";"Retirada para a carteira";-500.0;"Transferência entre Contas";"Conta Corrente"
"29/01/2016";"Retirada para a carteira";500.0;"Transferência entre Contas";"Carteira"
"29/01/2016";"Controle de Ratos na Casa de Maceió";-103.64;"OUTRAS DESPESAS";"Conta Corrente"
"30/01/2016";"Café da manhã na Rodoviária.";-8.0;"Lanchonete";"Carteira"
"30/01/2016";"Almoço com Gracinha e João no Senzai.";-123.32;"Restaurante";"Cartão de Crédito BB"
"30/01/2016";"Taxi casa / rodoviária Maceió.";-30.0;"Táxi";"Carteira"
"30/01/2016";"Almoço com Gracinha e João Paulo";-123.32;"Restaurante";"Cartão de Crédito BB"
"31/01/2016";"Café da manhã de João Paulo";-16.27;"Lanchonete";"Cartão de Crédito BB"
"31/01/2016";"Lanche de frutas na Rodoviaria de Aracaju";-20.0;"Lanchonete";"Carteira"
"31/01/2016";"Pagamento CREA-AL";-96.69;"CREA ou Imposto Sindical";"Conta Corrente"
"01/02/2016";"Depósito - Isadora - Almoço e caderno";-60.0;"Material Escolar";"Conta Corrente"
"01/02/2016";"Transporte Escolar - Parcela  (1 / 11)";-360.0;"Transporte Escolar";"Carteira"
"01/02/2016";"Pagamento UOL (1 / 12)";-29.5;"Servidor";"Conta Corrente"
"01/02/2016";"Transferência para a Carteira";-900.0;"Transferência entre Contas";"Conta Corrente"
"01/02/2016";"Transferência para a Carteira";900.0;"Transferência entre Contas";"Carteira"
"01/02/2016";"Casa Maceió - Marceneiro - Pagamento - Parcela 1 (parte 1)";-5890.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"02/02/2016";"Salário - Rosiene Satirio de Oliveira - janeiro de 2016";-809.6;"Salário Empregados";"Carteira"
"02/02/2016";"Almoço no Restaurante Sabor e Mesa";-12.99;"Restaurante";"Cartão de Crédito BB"
"02/02/2016";"Casa Maceió - Marceneiro - Pagamento - Parcela 1 (parte 2)";-7000.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"03/02/2016";"Energia Elétrica - Apartamento de Aracaju";-48.35;"Energia Elétrica";"Conta Corrente"
"03/02/2016";"Casa Maceió - Sofá e móveis da varanda - Parcela 1";-1792.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"03/02/2016";"Transferência para Gracinha - Dentista de Isadora";-240.0;"Dentista";"Conta Corrente"
"03/02/2016";"Almoço no China Tang.";-22.0;"Restaurante";"Carteira"
"03/02/2016";"Suporte para bolsa.";-17.0;"OUTRAS DESPESAS";"Cartão de Crédito BB"
"03/02/2016";"Remédios para Pressão (3 / 3)";-27.33;"Farmácia";"Cartão de Crédito BB"
"04/02/2016";"Depósito Isadora - Almoço e materiais da escola";-70.0;"Restaurante";"Conta Corrente"
"04/02/2016";"Isolada de Química (Matrícula)";-150.0;"Cursos";"Conta Corrente"
"04/02/2016";"Pães e água de coco";-19.17;"Padaria";"Cartão de Crédito BB"
"04/02/2016";"Desodorante para Isadora.";-23.94;"Farmácia";"Cartão de Crédito BB"
"05/02/2016";"E-SOCIAL - Rosiene Satirio de Oliveira - Salario Mensal";-246.4;"Encargos Empregados";"Conta Corrente"
"05/02/2016";"Colegio Contato (1 / 11)";-1065.0;"Escola";"Conta Corrente"
"05/02/2016";"Adiantamento PETROS";4412.41;"Benefícios Aposentadoria";"Conta Corrente"
"05/02/2016";"Casa Maceió - Pintor - Pagamento - parcela 1 (50%)";-1150.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"05/02/2016";"Casa Maceió - Tintas e Materiais de Pintura - Pagamento";-1396.24;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"05/02/2016";"Almoço no Palato";-23.32;"Restaurante";"Cartão de Crédito BB"
"05/02/2016";"Isolada de Matemática - (1 / 8)";-150.0;"Cursos";"Carteira"
"05/02/2016";"Isolada de Português - (1 / 8)";-130.0;"Cursos";"Carteira"
"05/02/2016";"Remédios (4 / 4)";-34.96;"Farmácia";"Cartão de Crédito BB"
"05/02/2016";"Peças e manutenção da moto (2 / 2)";-102.28;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"05/02/2016";"Peças para a moto e Casaco para Gracinha (3 / 5)";-90.0;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"05/02/2016";"Lanches para Isadora";-20.0;"Lanchonete";"Carteira"
"05/02/2016";"Depósito - FGTS";972.75;"FGTS";"FGTS"
"06/02/2016";"Combustível para a Hilux";-184.05;"Combustível";"Cartão de Crédito BB"
"06/02/2016";"Almoço com Gracinha viagem Recife";-55.4;"Restaurante";"Cartão de Crédito BB"
"06/02/2016";"Café e Leite Ninho";-17.85;"Lanchonete";"Cartão de Crédito BB"
"06/02/2016";"Pedágio para a Reserva do Paiva - Pernambuco";-15.0;"Pedágio";"Carteira"
"06/02/2016";"Presentes para Daniel e Maria (3 / 3)";-89.9;"Roupas e Calçados";"Cartão de Crédito BB"
"06/02/2016";"Presente de Gabriela (3 / 10)";-65.0;"Acessórios";"Cartão de Crédito BB"
"06/02/2016";"Presentes para João Neto (3 / 3)";-18.6;"Roupas e Calçados";"Cartão de Crédito BB"
"06/02/2016";"Presentes para Ernane, Daniel e Thais (3 / 3)";-103.2;"Roupas e Calçados";"Cartão de Crédito BB"
"07/02/2016";"Agua e Esgoto - Apartamento de Maceió";-69.2;"Água e Esgoto";"Conta Corrente"
"07/02/2016";"Almoço com Gracinha no Beijupirá.";-138.6;"Restaurante";"Cartão de Crédito BB"
"08/02/2016";"Condominio - Apartamento de Aracaju";-486.38;"Condomínio";"Conta Corrente"
"08/02/2016";"Despesas Hotel Sheraton";-54.0;"Estadia";"Cartão de Crédito BB"
"09/02/2016";"Combustível para a Hilux.";-144.48;"Combustível";"Cartão de Crédito BB"
"09/02/2016";"Cinema com Gracinha, Isadora, Gabi e Gilson";-112.0;"Cinema/Teatro/Show";"Cartão de Crédito BB"
"09/02/2016";"Remédios para Isadora (3 / 3)";-11.55;"Farmácia";"Cartão de Crédito BB"
"10/02/2016";"Condominio - Casa de Maceió";-690.0;"Condomínio";"Conta Corrente"
"10/02/2016";"Energia Elétrica - Casa de Maceió";-504.98;"Energia Elétrica";"Conta Corrente"
"10/02/2016";"TV a Cabo - Claro (2 / 12)";-110.41;"TV a Cabo";"Conta Corrente"
"10/02/2016";"Casa Maceió - Luminárias e Materiais Elétricos - Pagamento";-4703.16;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"10/02/2016";"Transporte de Rosiene Satirio de Oliveira - TRANSPAL";-111.5;"Transporte Empregados";"Conta Corrente"
"10/02/2016";"Condominio - Apartamento de Maceió";-350.0;"Condomínio";"Conta Corrente"
"10/02/2016";"Link de Internet - NET";-94.9;"Internet";"Conta Corrente"
"10/02/2016";"Jantar com Gracinha, Isadora, Gabi e Gilson";-201.46;"Restaurante";"Cartão de Crédito BB"
"10/02/2016";"Estacionamento Shopping";-10.0;"Estacionamento";"Carteira"
"10/02/2016";"Juros e atualização monetária - FGTS";12.03;"FGTS";"FGTS"
"10/02/2016";"Transferência para pagamento do Cartão de Crédito";-28778.37;"Transferência entre Contas";"Conta Corrente"
"10/02/2016";"Transferência para pagamento do Cartão de Crédito";28778.37;"Transferência entre Contas";"Cartão de Crédito BB"
"11/02/2016";"Calça para Gracinha - MOTO (3 / 4)";-65.0;"Roupas e Calçados";"Cartão de Crédito BB"
"11/02/2016";"Calça para ACMD - MOTO (3 / 4)";-65.0;"Roupas e Calçados";"Cartão de Crédito BB"
"11/02/2016";"Acessórios para a moto (3 / 3)";-61.63;"Carros, Motos e Acessórios";"Conta Corrente"
"11/02/2016";"Remédios e produtos de limpeza de pele (3 / 3)";-29.03;"Farmácia";"Cartão de Crédito BB"
"12/02/2016";"Picineiro - pagamento mensal";-134.0;"Pagamento Picineiro";"Carteira"
"12/02/2016";"Transferência para a Carteira";-400.0;"Transferência entre Contas";"Conta Corrente"
"12/02/2016";"Transferência para a Carteira";400.0;"Transferência entre Contas";"Carteira"
"12/02/2016";"Casa Maceió - Gesseiro - Pagamento por cheque - Parcela 2";-1940.0;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"13/02/2016";"Pedras para o jardim - DEKOR ART";-118.0;"OUTRAS DESPESAS";"Cartão de Crédito BB"
"13/02/2016";"Almoço com Isadora e Leca no PALATO";-64.54;"Restaurante";"Cartão de Crédito BB"
"13/02/2016";"Alimentos para Isadora e Leca";-44.58;"Supermercado";"Cartão de Crédito BB"
"13/02/2016";"Corte de cabelo";-30.0;"Salão de Beleza e Cosméticos";"Carteira"
"13/02/2016";"Depósito para despesas de Isadora";-150.0;"Mesada";"Conta Corrente"
"13/02/2016";"Passagemde ônibus para Aracaju";-53.74;"Passagens";"Cartão de Crédito BB"
"13/02/2016";"Polishop - Fritadeira AIRFRYER - (6 / 12)";-96.66;"Utensílios domésticos";"Cartão de Crédito BB"
"14/02/2016";"Táxi residência / Rodoviária de Maceió.";-30.0;"Táxi";"Carteira"
"14/02/2016";"Café da manhã na Rodoviária.";-22.0;"Lanchonete";"Carteira"
"14/02/2016";"Almoço com Gracinha em Propriá.";-55.0;"Restaurante";"Cartão de Crédito BB"
"14/02/2016";"Teclado e Mouse para Gracinha (1 / 4)";-32.39;"Eletrônicos";"Cartão de Crédito BB"
"14/02/2016";"Casa Maceió - Tintas e Materiais de Pintura (4 / 10)";-21.85;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"15/02/2016";"Compra do remédio NEBILET (caixa com 56) (2 / 3)";-32.9;"Farmácia";"Cartão de Crédito BB"
"15/02/2016";"Estacionamento no Shopping.";-5.0;"Estacionamento";"Carteira"
"15/02/2016";"Lanches para Isadora.";-20.0;"Lanchonete";"Carteira"
"15/02/2016";"Depilação - Isadora";-12.0;"Salão de Beleza e Cosméticos";"Cartão de Crédito BB"
"15/02/2016";"Remédios para Isadora (1 / 3)";-27.38;"Farmácia";"Cartão de Crédito BB"
"16/02/2016";"Almoço";-15.5;"Restaurante";"Cartão de Crédito BB"
